省份,运营商,153 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
澳门,电信,1533815,1731804,1776520,1806360,1816322,1894868,1902230,1914640,1935855,1996562
澳门,电信,1533816,1731805,1776521,1806361,1816323,1894869,1902231,1915749,1935856,1996563
澳门,电信,1533817,1736825,1776522,1806362,1816340,,1902232,1916860,1935857,1996564
澳门,电信,1534480,1736826,1776523,1806363,1816341,,,1916861,1935858,1996565
澳门,电信,1534481,1736827,1776568,1806364,1816342,,,1916862,1935859,1996566
澳门,电信,1534482,1736828,1776569,1806365,1816343,,,1916865,,1996567
澳门,电信,1534483,1736829,1776570,1806366,1816556,,,1916866,,1998700
澳门,电信,1534484,,1776571,1806367,1816557,,,1916867,,
澳门,电信,1534485,,1776572,1806368,1816558,,,1916868,,
澳门,电信,1534486,,1776573,1806369,1816559,,,1916869,,
澳门,电信,1534487,,1776590,1806380,1816560,,,1916885,,
澳门,电信,1534488,,1776591,1806381,1816561,,,1916886,,
澳门,电信,1534489,,1776592,1806382,,,,1916887,,
澳门,电信,1536350,,1776593,1806383,,,,1916888,,
澳门,电信,1536351,,1776594,1806384,,,,1916889,,
澳门,电信,1536352,,1776595,1806385,,,,,,
澳门,电信,1536353,,1776596,1806386,,,,,,
澳门,电信,1536354,,1776597,1806387,,,,,,
澳门,电信,1536355,,1776598,1806388,,,,,,
澳门,电信,1536356,,1776599,1806389,,,,,,
澳门,电信,1536357,,,1806390,,,,,,
澳门,电信,1536358,,,1806391,,,,,,
澳门,电信,1536359,,,1806392,,,,,,
澳门,电信,1536370,,,1806393,,,,,,
澳门,电信,1536371,,,1806394,,,,,,
澳门,电信,1536372,,,1806395,,,,,,
澳门,电信,1536373,,,1806396,,,,,,
澳门,电信,1536374,,,1806397,,,,,,
澳门,电信,1536375,,,1806398,,,,,,
澳门,电信,1536376,,,1806399,,,,,,
澳门,电信,1536377,,,,,,,,,
澳门,电信,1536378,,,,,,,,,
澳门,电信,1536379,,,,,,,,,
澳门,电信,1538434,,,,,,,,,
澳门,电信,1538435,,,,,,,,,
澳门,电信,1538436,,,,,,,,,
