省份,运营商,134 号段,135 号段,136 号段,138 号段,139 号段,147 号段,148 号段,150 号段,152 号段,157 号段,158 号段,165 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
西藏,移动,1344093,1351890,1361890,1388900,1390089,1471890,1489287,1508900,1520800,1570800,1588900,1650891,1721347,1780890,1820800,1830800,1840890,1870800,1888900,1950890,1970891,1980980
西藏,移动,1344693,1351891,1361891,1388901,1390890,1471891,,1508901,1520801,1570801,1588901,1652404,1721348,1780891,1820801,1830801,1840891,1870801,1888901,1950891,1970892,1980981
西藏,移动,1344793,1351892,1361892,1388902,1390891,1471892,,1508902,1520802,1570802,1588902,1657147,1721349,1780892,1820802,1830802,1840892,1870802,1888902,1950892,1970893,1980982
西藏,移动,1344893,1351893,1361893,1388903,1390892,1471893,,1508903,1520803,1570803,1588903,,1721350,1780893,1820803,1830803,1840893,1870803,1888903,1950893,1970894,1980983
西藏,移动,,1351894,1361894,1388904,1390893,1471894,,1508904,1520804,1570804,1588904,,1721351,1780894,1820804,1830804,1840894,1870804,1888904,1950894,1971376,1980984
西藏,移动,,1351895,1361895,1388905,1390894,1471895,,1508905,1520805,1570805,1588905,,1721805,1780895,1820805,1830805,1840895,1870805,1888905,1950895,1971894,1980985
西藏,移动,,1351896,1361896,1388906,1390895,1471896,,1508906,1520806,1570806,1588906,,1721806,1780896,1820806,1830806,1840896,1870806,1888906,1950896,1972779,1980986
西藏,移动,,1351897,1361897,1388907,1390896,1471897,,1508907,1520807,1570807,1588907,,1721807,1780897,1820807,1830807,1840897,1870807,1888907,1950897,,1980987
西藏,移动,,1351898,1361898,1388908,1390897,1471898,,1508908,1520808,1570808,1588908,,1721808,1780898,1820808,1830808,1840898,1870808,1888908,1950898,,1980988
西藏,移动,,1351899,1361899,1388909,1390898,1471899,,1508909,1520809,1570809,1588909,,1721809,1780899,1820809,1830809,1840899,1870809,1888909,1950899,,1980989
西藏,移动,,1354900,1362890,,1390899,1472890,,,1528900,1572670,,,1726381,1786760,1828900,1838900,1841376,1879890,1889800,1958930,,1981431
西藏,移动,,1354901,1362891,,1398900,1472891,,,1528901,1572671,,,1726382,1786761,1828901,1838901,1848910,1879891,1889801,1958931,,1981432
西藏,移动,,1354902,1362892,,1398901,1472892,,,1528902,1572672,,,1726383,1786762,1828902,1838902,1848911,1879892,1889802,1958932,,1981433
西藏,移动,,1354903,1362893,,1398902,1472893,,,1528903,1572673,,,1726384,1786763,1828903,1838903,1848912,1879893,1889803,1958933,,1981434
西藏,移动,,1354904,1362894,,1398903,1472894,,,1528904,1572674,,,1726385,1786764,1828904,1838904,1848913,1879894,1889804,1958934,,1981435
西藏,移动,,1354905,1362895,,1398904,1472895,,,1528905,1572675,,,1726386,1786765,1828905,1838905,1848914,1879895,1889805,1958935,,1981436
西藏,移动,,1354906,1362896,,1398905,1472896,,,1528906,1572676,,,1726387,1786766,1828906,1838906,1848915,1879896,1889806,1958936,,1981437
西藏,移动,,1354907,1362897,,1398906,1472897,,,1528907,1572677,,,1727742,1786767,1828907,1838907,1848916,1879897,1889807,1958937,,1988910
西藏,移动,,1354908,1362898,,1398907,1472898,,,1528908,1572678,,,1728910,1786768,1828908,1838908,1848917,1879898,1889808,1958938,,1988911
西藏,移动,,1354909,1362899,,1398908,1472899,,,1528909,1572679,,,1728911,1786769,1828909,1838909,1848918,1879899,1889809,1958939,,1988912
西藏,移动,,,1363890,,1398909,1476579,,,1528910,1572890,,,1728912,1788800,1828910,,1848919,,,,,1988913
西藏,移动,,,1363891,,1398990,1478900,,,1528911,1572891,,,1728913,1788801,1828911,,1848920,,,,,1988914
西藏,移动,,,1363892,,1398991,1478901,,,1528912,1572892,,,1728914,1788802,1828912,,1848921,,,,,1988915
西藏,移动,,,1363893,,1398992,1478902,,,1528913,1572893,,,1728915,1788803,1828913,,1848922,,,,,1988916
西藏,移动,,,1363894,,1398993,1478903,,,1528914,1572894,,,1728916,1788804,1828914,,1848923,,,,,1988917
西藏,移动,,,1363895,,1398994,1478904,,,1528915,1572895,,,1728917,1788805,1828915,,1848924,,,,,1988918
西藏,移动,,,1363896,,1398995,1478905,,,1528916,1572896,,,1728918,1788806,1828916,,1848925,,,,,1988919
西藏,移动,,,1363897,,1398996,1478906,,,1528917,1572897,,,1728919,1788807,1828917,,1848926,,,,,1988920
西藏,移动,,,1363898,,1398997,1478907,,,1528918,1572898,,,1729560,1788808,1828918,,1848927,,,,,1988921
西藏,移动,,,1363899,,1398998,1478908,,,1528919,1572899,,,1729561,1788809,1828919,,1848928,,,,,1988922
西藏,移动,,,1364890,,1398999,1478909,,,,,,,1729562,1788900,,,1848929,,,,,1988923
西藏,移动,,,1364891,,,,,,,,,,1729563,1788901,,,1848930,,,,,1988924
西藏,移动,,,1364892,,,,,,,,,,1729564,1788902,,,1848931,,,,,1988925
西藏,移动,,,1364893,,,,,,,,,,1729565,1788903,,,1848932,,,,,1988926
西藏,移动,,,1364894,,,,,,,,,,1729566,1788904,,,1848933,,,,,1988927
西藏,移动,,,1364895,,,,,,,,,,1729567,1788905,,,1848934,,,,,1988928
西藏,移动,,,1364896,,,,,,,,,,1729568,1788906,,,1848935,,,,,1988929
西藏,移动,,,1364897,,,,,,,,,,1729569,1788907,,,1848936,,,,,1989950
西藏,移动,,,1364898,,,,,,,,,,1729570,1788908,,,1848937,,,,,1989951
西藏,移动,,,1364899,,,,,,,,,,1729571,1788909,,,1848938,,,,,1989952
西藏,移动,,,1365890,,,,,,,,,,1729572,1788910,,,1848939,,,,,1989953
西藏,移动,,,1365891,,,,,,,,,,1729573,1788911,,,1848940,,,,,1989954
西藏,移动,,,1365892,,,,,,,,,,1729574,1788912,,,1848941,,,,,1989955
西藏,移动,,,1365893,,,,,,,,,,1729624,1788913,,,1848942,,,,,1989956
西藏,移动,,,1365894,,,,,,,,,,,1788914,,,1848943,,,,,1989957
西藏,移动,,,1365895,,,,,,,,,,,1788915,,,1848944,,,,,1989958
西藏,移动,,,1365896,,,,,,,,,,,1788916,,,1848945,,,,,1989959
西藏,移动,,,1365897,,,,,,,,,,,1788917,,,1848946,,,,,
西藏,移动,,,1365898,,,,,,,,,,,1788918,,,1848947,,,,,
西藏,移动,,,1365899,,,,,,,,,,,1788919,,,1848948,,,,,
西藏,移动,,,1365950,,,,,,,,,,,1788920,,,1848949,,,,,
西藏,移动,,,1365951,,,,,,,,,,,1788921,,,1848950,,,,,
西藏,移动,,,1365952,,,,,,,,,,,1788922,,,1848951,,,,,
西藏,移动,,,1365953,,,,,,,,,,,1788923,,,1848952,,,,,
西藏,移动,,,1365954,,,,,,,,,,,1788924,,,1848953,,,,,
西藏,移动,,,1365955,,,,,,,,,,,1788925,,,1848954,,,,,
西藏,移动,,,1365956,,,,,,,,,,,1788926,,,1848955,,,,,
西藏,移动,,,1365957,,,,,,,,,,,1788927,,,1848956,,,,,
西藏,移动,,,1365958,,,,,,,,,,,1788928,,,1848957,,,,,
西藏,移动,,,1365959,,,,,,,,,,,1788929,,,1848958,,,,,
西藏,移动,,,,,,,,,,,,,,1788930,,,1848959,,,,,
西藏,移动,,,,,,,,,,,,,,1788931,,,1848960,,,,,
西藏,移动,,,,,,,,,,,,,,1788932,,,1848961,,,,,
西藏,移动,,,,,,,,,,,,,,1788933,,,1848962,,,,,
西藏,移动,,,,,,,,,,,,,,1788934,,,1848963,,,,,
西藏,移动,,,,,,,,,,,,,,1788935,,,1848964,,,,,
西藏,移动,,,,,,,,,,,,,,1788936,,,1848965,,,,,
西藏,移动,,,,,,,,,,,,,,1788937,,,1848966,,,,,
西藏,移动,,,,,,,,,,,,,,1788938,,,1848967,,,,,
西藏,移动,,,,,,,,,,,,,,1788939,,,1848968,,,,,
西藏,移动,,,,,,,,,,,,,,1788960,,,1848969,,,,,
西藏,移动,,,,,,,,,,,,,,1788961,,,1849090,,,,,
西藏,移动,,,,,,,,,,,,,,1788962,,,1849128,,,,,
西藏,移动,,,,,,,,,,,,,,1788963,,,1849129,,,,,
西藏,移动,,,,,,,,,,,,,,1788964,,,1849130,,,,,
西藏,移动,,,,,,,,,,,,,,1788965,,,1849131,,,,,
西藏,移动,,,,,,,,,,,,,,1788966,,,1849132,,,,,
西藏,移动,,,,,,,,,,,,,,1788967,,,,,,,,
西藏,移动,,,,,,,,,,,,,,1788968,,,,,,,,
西藏,移动,,,,,,,,,,,,,,1788969,,,,,,,,
西藏,移动,,,,,,,,,,,,,,1789140,,,,,,,,
西藏,移动,,,,,,,,,,,,,,1789141,,,,,,,,
西藏,移动,,,,,,,,,,,,,,1789142,,,,,,,,
西藏,移动,,,,,,,,,,,,,,1789143,,,,,,,,
西藏,移动,,,,,,,,,,,,,,1789144,,,,,,,,
西藏,移动,,,,,,,,,,,,,,1789145,,,,,,,,
西藏,移动,,,,,,,,,,,,,,1789146,,,,,,,,
西藏,移动,,,,,,,,,,,,,,1789147,,,,,,,,
西藏,移动,,,,,,,,,,,,,,1789148,,,,,,,,
西藏,移动,,,,,,,,,,,,,,1789149,,,,,,,,
西藏,移动,,,,,,,,,,,,,,1789900,,,,,,,,
西藏,移动,,,,,,,,,,,,,,1789901,,,,,,,,
西藏,移动,,,,,,,,,,,,,,1789902,,,,,,,,
西藏,移动,,,,,,,,,,,,,,1789903,,,,,,,,
西藏,移动,,,,,,,,,,,,,,1789904,,,,,,,,
西藏,移动,,,,,,,,,,,,,,1789905,,,,,,,,
西藏,移动,,,,,,,,,,,,,,1789906,,,,,,,,
西藏,移动,,,,,,,,,,,,,,1789907,,,,,,,,
西藏,移动,,,,,,,,,,,,,,1789908,,,,,,,,
西藏,移动,,,,,,,,,,,,,,1789909,,,,,,,,
