省份,运营商,133 号段,153 号段,162 号段,170 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
青海,电信,1330970,1530970,1621970,1700970,1730970,1770970,1800970,1810097,1890970,1900966,1910970,1930970,1990970
青海,电信,1330971,1530971,1621971,1700971,1730971,1770971,1800971,1810970,1890971,1900967,1910971,1930971,1990971
青海,电信,1330972,1530972,1621972,1701970,1730972,1770972,1800972,1810971,1890972,1900968,1910972,1930972,1990972
青海,电信,1330973,1530973,1621973,1701971,1730973,1770973,1800973,1810972,1890973,1900969,1910973,1930973,1990973
青海,电信,1330974,1530974,1621974,1701972,1730974,1770974,1800974,1810973,1890974,1900970,1910974,1930974,1990974
青海,电信,1330975,1530975,1621975,1701973,1730975,1770975,1800975,1810974,1890975,1900971,1910975,1930975,1990975
青海,电信,1330976,1530976,1621976,1702970,1730976,1770976,1800976,1810975,1890976,1900972,1910976,1930976,1990976
青海,电信,1330977,1530977,1621977,1702971,1730977,1770977,1800977,1810976,1890977,1900973,1910977,1930977,1990977
青海,电信,1330978,1530978,1621978,1702972,1730978,1770978,1800978,1810977,1890978,1900974,1910978,1930978,1990978
青海,电信,1330979,1530979,1621979,1702973,1730979,1770979,1800979,1810978,1890979,1900975,1910979,1930979,1990979
青海,电信,1332760,1533791,1622840,,1739450,1771600,1809570,1810979,1891958,1900976,1919710,1936156,1991730
青海,电信,1332761,1534970,1622841,,1739451,1771601,1809571,1814630,1891959,1900977,1919711,1936157,1991731
青海,电信,1332762,1534971,1622842,,1739452,1771602,1809572,1814631,1893550,1900978,1919712,1939710,1991732
青海,电信,1332763,1534972,1622843,,1739453,1771603,1809573,1814632,1893551,1900979,1919713,1939711,1991733
青海,电信,1332764,1534973,1622844,,1739454,1771604,1809574,1814633,1893552,1904970,1919714,1939712,1991734
青海,电信,1332765,1534974,1622845,,1739455,1771605,1809575,1814634,1893553,1904971,1919715,1939713,1991735
青海,电信,1332766,1534975,1622846,,1739456,1771606,1809576,1814635,1893554,1904972,1919716,1939714,1991736
青海,电信,1332767,1534976,1622847,,1739457,1771607,1809577,1814636,1893555,1904973,1919717,1939715,1991737
青海,电信,1332768,1534977,1622848,,1739458,1771608,1809578,1814637,1893556,1904974,1919718,1939716,1991738
青海,电信,1332769,1534978,1622849,,1739459,1771609,1809579,1814638,1893557,1904975,1919719,1939717,1991739
青海,电信,1336970,1534979,1622970,,1739700,1772520,1809700,1814639,1893558,1909710,1919720,1939718,1991740
青海,电信,1336971,1535290,1622971,,1739701,1772521,1809701,1819450,1893559,1909711,1919721,1939719,1991741
青海,电信,1336972,1535291,1622972,,1739702,1772522,1809702,1819451,1893560,1909712,1919722,,1991742
青海,电信,1336973,1535292,1622973,,1739703,1772523,1809703,1819452,1893561,1909713,1919723,,1991743
青海,电信,1336974,1535293,1622974,,1739704,1772524,1809704,1819453,1893562,1909714,1919724,,1991744
青海,电信,1336975,1535294,1622975,,1739705,1772525,1809705,1819454,1893563,1909715,1919725,,1991745
青海,电信,1336976,1535295,1622976,,1739706,1772526,1809706,1819455,1893564,1909716,1919726,,1991746
青海,电信,1336977,1535296,1622977,,1739707,1772527,1809707,1819456,1893565,1909717,1919727,,1991747
青海,电信,1336978,1535297,1622978,,1739708,1772528,1809708,1819457,1893566,1909718,1919728,,1991748
青海,电信,1336979,1535298,1622979,,1739709,1772529,1809709,1819458,1893567,1909719,1919729,,1991749
青海,电信,1338970,1535299,1626970,,,1773090,1809710,1819459,1893568,1909720,1919730,,1999720
青海,电信,1338971,,1628970,,,1773091,1809711,1819460,1893569,1909721,1919731,,1999721
青海,电信,1338972,,1628971,,,1773092,1809712,1819461,1894680,1909722,1919732,,1999722
青海,电信,1338973,,1628972,,,1773093,1809713,1819462,1894681,1909723,1919733,,1999723
青海,电信,1338974,,1628973,,,1773094,1809714,1819463,1894682,1909724,1919734,,1999724
青海,电信,1338975,,1628974,,,1773095,1809715,1819464,1894683,1909725,1919735,,1999725
青海,电信,1338976,,1628979,,,1773096,1809716,1819465,1894684,1909726,1919736,,1999726
青海,电信,1338977,,1629710,,,1773097,1809717,1819466,1894685,1909727,1919737,,1999727
青海,电信,1338978,,1629712,,,1773098,1809718,1819467,1894686,1909728,1919738,,1999728
青海,电信,1338979,,1629713,,,1773099,1809719,1819468,1894687,1909729,1919739,,1999729
青海,电信,,,1629714,,,1779470,1809720,1819469,1894688,,1919740,,1999730
青海,电信,,,1629715,,,1779471,1809721,1819470,1894689,,1919741,,1999731
青海,电信,,,,,,1779472,1809722,1819471,1899700,,1919742,,1999732
青海,电信,,,,,,1779473,1809723,1819472,1899701,,1919743,,1999733
青海,电信,,,,,,1779474,1809724,1819473,1899702,,1919744,,1999734
青海,电信,,,,,,1779475,1809725,1819474,1899703,,1919745,,1999735
青海,电信,,,,,,1779476,1809726,1819475,1899704,,1919746,,1999736
青海,电信,,,,,,1779477,1809727,1819476,1899705,,1919747,,1999737
青海,电信,,,,,,1779478,1809728,1819477,1899706,,1919748,,1999738
青海,电信,,,,,,1779479,1809729,1819478,1899707,,1919749,,1999739
青海,电信,,,,,,1779700,1809730,1819479,1899708,,,,1999740
青海,电信,,,,,,1779701,1809731,1819560,1899709,,,,1999741
青海,电信,,,,,,1779702,1809732,1819561,1899710,,,,1999742
青海,电信,,,,,,1779703,1809733,1819562,1899711,,,,1999743
青海,电信,,,,,,1779704,1809734,1819563,1899712,,,,1999744
青海,电信,,,,,,1779705,1809735,1819564,1899713,,,,1999745
青海,电信,,,,,,1779706,1809736,1819565,1899714,,,,1999746
青海,电信,,,,,,1779707,1809737,1819566,1899715,,,,1999747
青海,电信,,,,,,1779708,1809738,1819567,1899716,,,,1999748
青海,电信,,,,,,1779709,1809739,1819568,1899717,,,,1999749
青海,电信,,,,,,1779710,1809740,1819569,1899718,,,,
青海,电信,,,,,,1779711,1809741,1819570,1899719,,,,
青海,电信,,,,,,1779712,1809742,1819571,1899720,,,,
青海,电信,,,,,,1779713,1809743,1819572,1899721,,,,
青海,电信,,,,,,1779714,1809744,1819573,1899722,,,,
青海,电信,,,,,,1779715,1809745,1819574,1899723,,,,
青海,电信,,,,,,1779716,1809746,1819575,1899724,,,,
青海,电信,,,,,,1779717,1809747,1819576,1899725,,,,
青海,电信,,,,,,1779718,1809748,1819577,1899726,,,,
青海,电信,,,,,,1779719,1809749,1819578,1899727,,,,
青海,电信,,,,,,1779720,,1819579,1899728,,,,
青海,电信,,,,,,1779721,,1819700,1899729,,,,
青海,电信,,,,,,1779722,,1819701,1899730,,,,
青海,电信,,,,,,1779723,,1819702,1899731,,,,
青海,电信,,,,,,1779724,,1819703,1899732,,,,
青海,电信,,,,,,1779725,,1819704,1899733,,,,
青海,电信,,,,,,1779726,,1819705,1899734,,,,
青海,电信,,,,,,1779727,,1819706,1899735,,,,
青海,电信,,,,,,1779728,,1819707,1899736,,,,
青海,电信,,,,,,1779729,,1819708,1899737,,,,
青海,电信,,,,,,1779730,,1819709,1899738,,,,
青海,电信,,,,,,1779731,,1819710,1899739,,,,
青海,电信,,,,,,1779732,,1819711,1899740,,,,
青海,电信,,,,,,1779733,,1819712,1899741,,,,
青海,电信,,,,,,1779734,,1819713,1899742,,,,
青海,电信,,,,,,1779735,,1819714,1899743,,,,
青海,电信,,,,,,1779736,,1819715,1899744,,,,
青海,电信,,,,,,1779737,,1819716,1899745,,,,
青海,电信,,,,,,1779738,,1819717,1899746,,,,
青海,电信,,,,,,1779739,,1819718,1899747,,,,
青海,电信,,,,,,1779740,,1819719,1899748,,,,
青海,电信,,,,,,1779741,,1819720,1899749,,,,
青海,电信,,,,,,1779742,,1819721,,,,,
青海,电信,,,,,,1779743,,1819722,,,,,
青海,电信,,,,,,1779744,,1819723,,,,,
青海,电信,,,,,,1779745,,1819724,,,,,
青海,电信,,,,,,1779746,,1819725,,,,,
青海,电信,,,,,,1779747,,1819726,,,,,
青海,电信,,,,,,1779748,,1819727,,,,,
青海,电信,,,,,,1779749,,1819728,,,,,
青海,电信,,,,,,,,1819729,,,,,
青海,电信,,,,,,,,1819730,,,,,
青海,电信,,,,,,,,1819731,,,,,
青海,电信,,,,,,,,1819732,,,,,
青海,电信,,,,,,,,1819733,,,,,
青海,电信,,,,,,,,1819734,,,,,
青海,电信,,,,,,,,1819735,,,,,
青海,电信,,,,,,,,1819736,,,,,
青海,电信,,,,,,,,1819737,,,,,
青海,电信,,,,,,,,1819738,,,,,
青海,电信,,,,,,,,1819739,,,,,
青海,电信,,,,,,,,1819740,,,,,
青海,电信,,,,,,,,1819741,,,,,
青海,电信,,,,,,,,1819742,,,,,
青海,电信,,,,,,,,1819743,,,,,
青海,电信,,,,,,,,1819744,,,,,
青海,电信,,,,,,,,1819745,,,,,
青海,电信,,,,,,,,1819746,,,,,
青海,电信,,,,,,,,1819747,,,,,
青海,电信,,,,,,,,1819748,,,,,
青海,电信,,,,,,,,1819749,,,,,
